Classic	Alfredo
30207	10299
10931	10135
19541	10143
22375	10135
19981	10205
16488	10425
28789	10450
11806	10197
12349	10306
29264	10197
20862	10123
11093	10189
18394	10311
28434	10196
10708	20486
14603	10218
11008	10286
23846	10328
28472	10306
26724	10381
13886	10259
23962	10279
27165	10237
24506	10710
24316	10372
17897	10240
27299	10524
43949	10202
22377	20807
17163	10548
18644	10153
43051	10312
24168	10341
24271	10181
23048	10142
29265	10218
27333	10130
14267	10167
13383	30708
10617	10389
16008	10139
16437	10239
21767	10165
10699	10733
17992	10145
14891	10260
18994	10734
18530	10216
22344	10243
19719	10147
21212	10157
21411	10454
24002	10118
19710	10148
18570	10183
41241	10571
16363	20299
16419	10363
15602	10433
19856	10255
37338	10361
23097	10164
23152	10341
13485	10192
21521	10197
27435	10507
17083	10448
15811	10506
17766	10158
20599	10555
17437	10242
10796	10415
33261	10385
24740	10301
13032	10208
33904	10278
18071	10319
23984	10274
41973	20248
23753	10364
21014	10614
19627	10191
35642	10153
23441	10278
15357	10155
18461	10260
20187	20498
23156	10214
23872	10407
29980	10246
33724	10301
28409	10235
17403	10201
12798	10302
27298	10310
11747	10732
16588	10388
10101	10370
18639	10314
11748	10185
